NOMBRE DEPARTAMENTO;NOMBRE MUNICIPIO;PDET;NOMBRE CENTRO POBLADO;NOMBRE SEDE EDUCATIVA;FECHA INICIO DE OPERACIÓN;FIN DE OPERACIÓN INICIAL;ESTADO
SUCRE;OVEJAS;SI;DE ALMAGRA;I.E. SAN JOSE DE ALMAGRA - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;OVEJAS;SI;SAN RAFAEL;SEDE MULA SAN RAFAEL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;CANUTAL;INST EDUC CANUTAL;;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;VEREDA LOMA DEL BANCO;CENTRO EDUCATIVO LOMA DEL BANCO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA EL PALMAR;CENTRO EDUCATIVO EL PALMAR;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA OSOS;OSSOS;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA BUENOS AIRES;BUENOS AIRES;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA SAN FRANCISCO;CENTRO EDUCATIVO SAN FRANCISCO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;FLOR DEL MONTE;I.E.T.A. FLOR DEL MONTE - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;VEREDA LOS ANDES;CENTRO EDUCATIVO LOS ANDES;;;INSTALACIÓN
SUCRE;OVEJAS;SI;DON GABRIEL;I.E.T.A. DON GABRIEL;;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;VDA. LAS MERCEDES;LAS MERCEDES;;;INSTALACIÓN
SUCRE;PALMITO;SI;GUAIMI;I.E. INDÍGENA GUAIMÍ - SEDE PRINCIPAL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;PUEBLECITO;CENTRO EDUCATIVO PUEBLO NUEVO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;VEREDA CRUZ DEL RAMAL;CENTRO EDUCATIVO CRUZ DEL RAMAL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;LOS CASTILLOS;CENTRO EDUCATIVO LOS CASTILLOS;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;VDA MARÍN;CENTRO EDUCATIVO MARIN;;;EN PLANEACIÓN
SUCRE;PALMITO;SI;CORREGIMIENTO SAN MARTIN DE LOBA;INSTITUCION EDUCATIVA INDÍGENA SAN MARTIN DE LOBA - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREGIMIENTO LA PICHE;CENTRO EDUCATIVO LA PICHE (Sede Principal);2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG GUALON;CENTRO EDUCATIVO GUALON;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA MOQUEN;CENTRO EDUCATIVO MOQUEN;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG MACAJAN;I.E. MACAJAN - SEDE PRICIPAL;;;INSTALACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA CIENAGUITA;CENTRO EDUCATIVO CIENAGUITA;;;INSTALACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG EL CAÑITO;CENTRO EDUCATIVO EL CAÑITO;;;INSTALACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA LOS ALTOS;CENTRO EDUCATIVO LOS ALTOS;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA NUEVO ORIENTE;CENTRO EDUCATIVO NUEVO ORIENTE;;;INSTALACIÓN
SUCRE;TOLÚ VIEJO;SI;VDA MANICA;CENTRO EDUCATIVO MANICA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VEREDA EL FLORAL;CENTRO EDUCATIVO EL FLORAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;VDA LA ESPERANZA;CENTRO EDUCATIVO LA ESPERANZA;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;EL PALMAR BRILLANTE;CENTRO EDUCATIVO EL PALMAR;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;ALGODONCILLO;C.E. INDÍGENA ALGODONCILLO - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;PALMITO;SI;GUAIMARAL;CENTRO EDUCATIVO GUAIMARAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;EL MARTILLO;I.E. INDÍGENA EL MARTILLO - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;PALMITO;SI;CHUMPUNDUN;C.E. INDÍGENA CHUPUNDUN - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;PALMITO;SI;SAN MIGUEL;CENTRO EDUCATIVO SAN MIGUEL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG CARACOL;I.E. TÉCNICO AGROPECUARIO CARLOS ARTURO VERBEL VERGARA - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;TOLÚ VIEJO;SI;CORREG VARSOVIA;I.E. LA INMACULADA CONCEPCION - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;PALMITO;SI;CAMINO A PALMITO;CENTRO EDUCATIVO ARROYO ARENA;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;CORREG DE EL RINCON;I.E. EL RINCON - SEDE PRINCIPAL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;COMUNID INDIG LA GRANJA;CENTRO EDUCATIVO LA GRANJA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;PALMITO;SI;COMUNID INDIG EL BARZAL;CENTRO EDUCATIVO EL BARZAL;;;EN PLANEACIÓN
SUCRE;LOS PALMITOS;SI;CORREG SABANAS DE BELTRAN;I.E. MANUELA BELTRAN - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;EL COLEY;EL COLEY;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;CORREGIMIENTO PALMAS DE VINO;I.E. PALMAS DE VINO - SEDE PRINCIPAL;;;EN PLANEACIÓN
SUCRE;LOS PALMITOS;SI;VEREDA HATILLO;C.E. HATILLO - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;COLOSÓ;SI;CHINULITO;CHINULITO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VEREDA DE CHARCON;EL CHARCON;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VDA. LA ALDEA;LA ALDEA;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREG PALACIO;CENTRO EDUCATIVO PALACIO;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;CORREG SAN ANTONIO;INST EDUC SAN ANTONIO;;;EN PLANEACIÓN
SUCRE;SAN ONOFRE;SI;SABANETICA (LIBERTAD);CENTRO EDUCATIVO SABANETICA;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;RINCON DEL MAR;RINCON DEL MAR;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;SAN ONOFRE;SI;VEREDA EL PUEBLITO;CENTRO EDUCATIVO EL PUEBLITO;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;VDA PAJONAL;CENTRO EDUCATIVO SI TE GUSTA NO I;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREGIMIENTO EL CHICHO;CENTRO EDUCATIVO EL CHICHO;;;INSTALACIÓN
SUCRE;OVEJAS;SI;VDA LA EUROPA;SAN SEBASTIAN DE BELALCAZAR;;;INSTALACIÓN
SUCRE;MORROA;SI;VDA. EL COCO;EL COCO;;;INSTALACIÓN
SUCRE;SAN ONOFRE;SI;CORREGIMIENTO BERLIN;CENTRO EDUCATIVO BERLIN;;;EN PLANEACIÓN
