ANO;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2019;62.418;76364;76;ACTIVO;LA SILVESTRE FINCA AGROTURISTICA;VALLE DEL CAUCA;JAMUNDI;PARQUES TEMÁTICOS;PARQUES TEMÁTICOS;0;0;4
2019;65.624;76364;76;ACTIVO;CASA CAMPESTRE YOULING;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;OTROS TIPOS DE VIVIENDA TURÍSTICA;3;3;0
2019;65.655;76364;76;ACTIVO;EL CAMBUCHE DEL MONO;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;6;12;2
2019;65.658;76364;76;ACTIVO;ECOETNIAS TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;65.747;76364;76;ACTIVO;AVENTURA TRAVEL;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2019;69.698;76364;76;ACTIVO;HOTEL CENTRAL JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;20;21;5
2019;71.116;76364;76;ACTIVO;CUABU TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;71.117;76364;76;ACTIVO;GRANJA YOLI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;4;6;1
2019;72.320;76364;76;ACTIVO;PARAISO COLOMBIANO;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;72.668;76364;76;ACTIVO;EVENTOS Y LOGISTICA JJ JEY JEY TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2019;74.086;76364;76;ACTIVO;TURISFRONT;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;3
2019;74.942;76364;76;ACTIVO;MAJU TOURS AGENCIA DE VIAJES Y TURISMO;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2019;75.092;76364;76;ACTIVO;ON TRAVEL PROMOTORA DE TURISMO;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2019;75.905;76364;76;ACTIVO;APARTAHOTEL PLAZA REAL JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;APARTAHOTEL;24;30;1
